ITEM TYPE,RETAIL SALES
WINE,1.36
KRIS P/GRIG - 750ML,WINE
BEER,43.87
WINE,0.00
WINE,0.00
BODEGAS CASTANO SOLANERA - 750ML,WINE
LIQUOR,40.23
WINE,50.79
WINE,1.52
WINE,0.82
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.67
WINE,0.00
WINE,6.01
WINE,1.48
GRAHAM BECK ROBERTSON BRUT - 750ML,WINE
WINE,1.66
WINE,3.41
WINE,0.24
BEER,5.50
WINE,0.16
WINE,6.47
MARS & VENUS CHARD - 750ML,WINE
WINE,0.32
WINE,0.00
WINE,0.16
WINE,0.00
LIQUOR,13.86
WINE,0.00
YALUMBA Y SERIES CAB - 750ML,WINE
WINE,0.41
WINE,1.23
WINE,0.24
WINE,17.42
WINE,0.00
WINE,0.08
WINE,1.00
WINE,5.96
LIQUOR,57.65
JUAN GIL WRONGO DONGO - 750ML,WINE
WINE,0.00
WINE,1.25
BODEGAS CASTANO MONASTRELL - 750ML,WINE
BARBOURSVILLE CHARD - 750ML,WINE
BARBOURSVILLE RES CAB/FRC - 750ML,WINE
WINE,0.57
WINE,0.00
WINE,0.24
WINE,0.32
LIQUOR,2.70
ALOIS LAGEDER P/GRIG ALTO ADIG - 750ML,WINE
LIQUOR,1.19
LIQUOR,2.58
BARBOURSVILLE RES VIOG - 750ML,WINE
WINE,11.83
WINE,0.89
WINE,0.49
LIQUOR,2.58
BISHOPS PEAK CHARD - 750ML,WINE
LIQUOR,14.69
WINE,0.73
WINE,0.00
LIQUOR,0.98
TIEFENBRUNNER P/GRIG - 750ML,WINE
STELLA P/GRIG - 750ML,WINE
LIQUOR,1.85
WINE,0.08
LIQUOR,2.54
WINE,0.00
WINE,0.00
WINE,0.34
BEER,4.50
WINE,1.25
CH PESQUIE LES TERRASSES - 750ML,WINE
LIQUOR,0.08
WINE,0.00
WINE,3.33
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.65
WINE,0.08
WINE,27.75
LIQUOR,0.34
STR_SUPPLIES,5.94
LIQUOR,0.56
WINE,0.00
DI MAJO NORANTE SAN GORGI SANG - 750ML,WINE
BEER,0.00
WINE,0.00
LIQUOR,5.24
NON-ALCOHOL,542.00
WINE,9.16
WAGNER OCKFENER BOCH RIES KAB - 750ML,WINE
AGRICOLA DE BORJA TRES PICOS - 750ML,WINE
KEGS,0.00
WINE,0.17
BEER,0.00
BEER,0.00
BEER,0.00
KEGS,0.00
LIQUOR,150.26
ALOIS LAGEDER ALTO ADIGE CHARD - 750ML,WINE
WINE,0.92
WINE,0.90
WINE,0.00
LIQUOR,0.83
WINE,0.00
WINE,0.33
WINE,3.28
WINE,0.34
WINE,0.81
LIQUOR,1.00
LIQUOR,0.24
LIQUOR,2.84
WINE,0.74
WINE,0.51
LIQUOR,8.73
BEER,0.00
LIQUOR,48.16
FAT BASTARD CHARD - 1.5L,WINE
DUNNAGE,0.00
LIQUOR,8.86
WINE,0.75
LIQUOR,4.93
NON-ALCOHOL,0.00
WINE,34.23
WINE,14.37
INDABA WESTERN CAPE CHARD - 750ML,WINE
WINE,0.00
WINE,6.94
LIQUOR,10.27
WINE,2.67
WINE,26.43
WINE,15.57
WINE,0.12
